id,category,idea,mechanism,first_experiment,novelty_assessment,screen_cost,priority,related_sources
49,G,Joint polishing after all projections are binary,"After sequential initialization, reopen all factors in one block for a short joint pass so all projections adapt to the final quantized environment.","Compare additional joint tuning with equal extra sequential tuning, and with scales-only polishing.",Established adaptation,Medium,First,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
50,G,Overlapping block-window recovery,Reoptimize two or three adjacent quantized blocks together to permit compensation across the residual path.,Start with blocks 2–4 and 25–27; compare equal-time one-block extra tuning and fixed look-ahead.,Established adaptation,High,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
51,G,Quantization order selected by coupling,"Quantize tightly interacting projections as groups, or choose an order based on how strongly remaining weights must compensate.",Evaluate several prespecified orders from identical states; measure both transient recovery and final binary quality.,Candidate component,Medium,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
52,G,Constrain temporary FP compensation,Regularize surviving FP weights during tune_nonfact so they do not absorb errors in a way that later binarization cannot preserve.,Measure temporary weight drift and damage when each compensated projection is factorized; compare generic weight regularization.,Candidate component,Low–medium,First,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
53,G,Continuation from easier ranks to target ranks,"Start from a larger binary rank or softened constraints, progressively remove components, and refit at the final budget.",Compare with direct target-rank training using identical total GPU time; include all higher-rank work.,Established adaptation,Medium–high,Later,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
54,G,Selective end-to-end binary recovery,Extend global KD beyond scales by allowing only high-impact unstable factor bits or a few selected blocks to change.,"Compare scale-only KD, selective sign KD, and uniform sign updates with the same trainable-bit and compute budgets.",Candidate component,High,Second,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
55,G,Online or chunked teacher distillation,Avoid a complete samples-by-sequence-by-vocabulary cache; stream teacher outputs or compute exact soft targets in manageable chunks.,Verify loss/gradient parity on a small batch and use freed memory to compare larger KD datasets at matched steps.,Engineering / enabling,Medium,First,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
56,G,Scale-only polishing with more data and stronger selection,"Improve the existing scale-only global recovery by separating data size, learning rate, early stopping, and distillation target choices.",Use identical pre-KD checkpoints to isolate why KD gains differ between arms; compare pre/post-KD NLL and task accuracy.,Baseline / enabling,Low–medium,First,https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_block.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/core/compress_model.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2405.14852 ; https://arxiv.org/abs/2410.19103 ; https://arxiv.org/abs/2411.03934 ; https://arxiv.org/abs/2312.07950
57,H,Accelerate tuning without changing optimizer steps,"Reduce launch and data-transfer overhead while preserving microbatch semantics, rather than increasing accumulation and losing updates.","Profile block forwards, backward, optimizer, and evaluation separately; verify matching update counts and quality.",Systems component,High,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
58,H,Rank-specific packed-kernel optimization,Specialize kernels for the nonuniform ranks actually selected; fuse scale operations and profile intermediate traffic.,"Measure prefill and decode latency, occupancy, and peak memory for representative selected ranks.",Systems component,High,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
59,H,Whole-model storage optimization,"Quantize or otherwise compress embeddings and the output head when they dominate total storage, especially for small vocabulary-heavy models.",Report matrix bpw and whole-checkpoint bytes separately; evaluate the quality cost of head/embedding compression.,Established adaptation / systems,Medium–high,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
60,H,Compression under serving-memory budgets,"Allocate between weights and KV cache using workload-specific total memory and latency, treating weight-only compression as one component.","Compare short and long context workloads, multiple batch sizes, and the full serving-memory breakdown.",Candidate systems component,High,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
61,H,Adaptive rank during inference,Use nested binary ranks to spend more computation on difficult tokens or requests; account for dispatch and batching overhead.,Compare static models on the true throughput–quality frontier; test whether routing saves time after overhead.,Candidate core,High,Later,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
62,H,Causal study of binary instability and generalization,"Build a regime map across model size, rank, data diversity, optimizer seed, and precision to identify when reconstruction ceases to predict language quality.","Use fixed-prefix interventions, factor hashes, train/held-out feature losses, and confidence intervals; test whether a simple intervention follows from the mechanism.",Candidate analysis paper,Medium–high,First,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
63,H,A validated cheap selection metric,"Develop a held-out metric that predicts final post-KD quality across ranks, seeds, and objectives, enabling cheaper model selection.","Fit on some models/blocks and evaluate ranking on unseen models and completed quantized chains; compare NLL, raw MSE, normalized MSE, and KL.",Candidate component,Medium–high,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
64,H,Acceptance-aware binary draft compression,"If speculative decoding is the intended application, optimize binary draft capacity for accepted tokens per unit time against a fixed verifier rather than draft PPL alone.","Hold verifier and sampler fixed; compare equal-byte NanoQuant drafts, acceptance, accepted length, end-to-end speed, and target-distribution fidelity.",Candidate application paper,High,Second,https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/README.md ; https://github.com/PseudoHunt/flexdraft-1bit-drafter/blob/1d36d8d/llm_ext/run_llm_ext.py ; https://github.com/SamsungLabs/NanoQuant/blob/a9e0a43/src/nanoquant/modules/linear.py ; https://arxiv.org/abs/2602.06694 ; https://arxiv.org/abs/2502.06786 ; https://arxiv.org/abs/2602.03537 ; https://arxiv.org/abs/2211.17192 ; https://arxiv.org/abs/2403.00858
